variant,seed,days,stockout_rate,service_level,units_short,wastage_units,average_inventory,shipments_delivered,events,agent_decisions
baseline,42,365,0.00197,0.99803,814,0,118874.62,1154,14562,0
baseline,43,365,0.002481,0.997519,1028,0,117696.66,1162,14584,0
baseline,44,365,0.0031,0.9969,1285,0,116600.3,1141,14542,0
demand,42,365,0.0,1.0,0,6,138510.87,846,13781,3016
demand,43,365,6.3e-05,0.999937,26,184,141866.22,827,13732,3008
demand,44,365,0.0,1.0,0,140,138143.5,845,13784,2947
expiry,42,365,0.000361,0.999639,149,0,140071.13,832,13815,3328
expiry,43,365,0.000289,0.999711,120,11,131899.99,825,13828,3352
expiry,44,365,0.000379,0.999621,157,65,141929.35,829,13843,3377
inventory,42,365,2e-06,0.999998,1,0,134451.63,844,13786,872
inventory,43,365,0.0,1.0,0,0,140944.59,843,13768,883
inventory,44,365,5.3e-05,0.999947,22,16,143793.07,842,13787,883
